Sim 3

Solar R: 0.2091
Solar A: 0.4894
Solar T: 0.3015

Wavelength	R	A	T
1.0708	0.3088	0.1128	0.5784	
1.0808	0.3121	0.1144	0.5736	
1.0908	0.3145	0.1174	0.5681	
1.1008	0.323	0.1225	0.5545	
1.1108	0.3311	0.1269	0.542	
1.1208	0.3492	0.12	0.5308	
1.1308	0.3816	0.1262	0.4921	
1.1408	0.5551	0.1387	0.3062	
1.1508	0.4431	0.1382	0.4187	
1.1608	0.4203	0.1403	0.4394	
1.1708	0.4485	0.1456	0.406	
1.1808	0.4854	0.1523	0.3623	
1.1908	0.5172	0.1576	0.3252	
1.2008	0.5101	0.1685	0.3214	
1.2108	0.4367	0.2434	0.3199	
1.2208	0.3561	0.303	0.3409	
1.2308	0.2892	0.3465	0.3643	
1.2408	0.2354	0.379	0.3856	
1.2508	0.1909	0.4012	0.4079	
1.2608	0.1586	0.4163	0.4251	
1.2708	0.1374	0.4298	0.4328	
1.2808	0.1223	0.445	0.4328	
1.2908	0.1167	0.4632	0.42	
1.3008	0.1146	0.487	0.3984	
1.3108	0.1165	0.5153	0.3683	
1.3208	0.1209	0.5427	0.3363	
1.3308	0.127	0.5732	0.2998	
1.3408	0.1357	0.6036	0.2607	
1.3508	0.1497	0.6335	0.2168	
1.3608	0.1719	0.6626	0.1656	
1.3708	0.2139	0.6807	0.1054	
1.3808	0.2702	0.6732	0.0565	
1.3908	0.2713	0.6762	0.0525	
1.4008	0.2336	0.6892	0.0772	
1.4108	0.2194	0.6857	0.095	
1.4208	0.2145	0.6833	0.1022	
1.4308	0.2195	0.6786	0.1019	
1.4408	0.2245	0.6747	0.1008	
1.4508	0.2332	0.6685	0.0983	
1.4608	0.2414	0.6644	0.0943	
1.4708	0.2488	0.6578	0.0934	
1.4808	0.2567	0.6507	0.0926	
1.4908	0.2616	0.644	0.0943	
1.5008	0.2659	0.6374	0.0966	
1.5108	0.2684	0.6305	0.1011	
1.5208	0.27	0.6232	0.1069	
1.5308	0.2711	0.615	0.1139	
1.5408	0.2722	0.6089	0.1189	
1.5508	0.2704	0.6006	0.129	
1.5608	0.2706	0.5928	0.1366	
1.5708	0.2677	0.586	0.1463	
1.5808	0.2681	0.5775	0.1544	
1.5908	0.2668	0.567	0.1662	
1.6008	0.2666	0.5574	0.176	
1.6108	0.261	0.5611	0.1779	
1.6208	0.254	0.5665	0.1796	
1.6308	0.2505	0.5693	0.1802	
1.6408	0.2502	0.5684	0.1814	
1.6508	0.246	0.5743	0.1797	
1.6608	0.2442	0.5784	0.1775	
1.6708	0.2441	0.5815	0.1744	
1.6808	0.2467	0.585	0.1682	
1.6908	0.2498	0.5889	0.1614	
1.7008	0.255	0.592	0.1531	
1.7108	0.2594	0.5948	0.1457	
1.7208	0.2689	0.5967	0.1344	
1.7308	0.2813	0.5974	0.1213	
1.7408	0.2941	0.5981	0.1078	
1.7508	0.3065	0.5968	0.0967	
1.7608	0.3216	0.5939	0.0845	
1.7708	0.3354	0.59	0.0746	
1.7808	0.3448	0.5868	0.0684	
1.7908	0.3481	0.5851	0.0668	
1.8008	0.3375	0.5969	0.0656	
1.8108	0.2779	0.6762	0.0459	
1.8208	0.2347	0.7302	0.0351	
1.8308	0.2023	0.77	0.0277	
1.8408	0.1756	0.8017	0.0227	
1.8508	0.155	0.8252	0.0198	
1.8608	0.1389	0.845	0.0161	
1.8708	0.1264	0.8597	0.0139	
1.8808	0.1164	0.8721	0.0115	
1.8908	0.1078	0.8823	0.0099	
1.9008	0.1016	0.8906	0.0079	
1.9108	0.0968	0.8965	0.0067	
1.9208	0.0917	0.9028	0.0054	
1.9308	0.0879	0.9074	0.0047	
1.9408	0.0844	0.9117	0.0039	
1.9508	0.0808	0.9161	0.0031	
1.9608	0.0789	0.9185	0.0026	
1.9708	0.0773	0.9204	0.0023	
1.9808	0.0757	0.9225	0.0019	
1.9908	0.0721	0.9264	0.0015	
2.0008	0.0714	0.9273	0.0013	
2.0108	0.0741	0.9243	0.0016	
2.0208	0.0777	0.9204	0.0019	
2.0308	0.0802	0.9177	0.0021	
2.0408	0.0842	0.9134	0.0024	
2.0508	0.0869	0.9104	0.0026	
2.0608	0.091	0.9056	0.0034	
2.0708	0.096	0.9002	0.0038	
2.0808	0.1007	0.8948	0.0045	
2.0908	0.106	0.8889	0.0051	
2.1008	0.1108	0.8829	0.0063	
2.1108	0.1173	0.8758	0.0069	
2.1208	0.1234	0.8685	0.0081	
2.1308	0.1316	0.8588	0.0096	
2.1408	0.1398	0.8484	0.0118	
2.1508	0.1481	0.8382	0.0137	
2.1608	0.1593	0.8241	0.0166	
2.1708	0.1721	0.808	0.0199	
2.1808	0.1849	0.7913	0.0238	
2.1908	0.2013	0.7697	0.029	
2.2008	0.2175	0.7479	0.0346	
2.2108	0.2048	0.7657	0.0295	
2.2208	0.1944	0.781	0.0246	
2.2308	0.187	0.7932	0.0198	
2.2408	0.179	0.8043	0.0167	
2.2508	0.173	0.8126	0.0144	
2.2608	0.165	0.8227	0.0122	
2.2708	0.1605	0.8292	0.0103	
2.2808	0.1548	0.8363	0.0089	
2.2908	0.1508	0.8416	0.0075	
2.3008	0.1486	0.8449	0.0066	
2.3108	0.1427	0.8516	0.0057	
2.3208	0.1397	0.8556	0.0047	
2.3308	0.1376	0.8583	0.0041	
2.3408	0.1342	0.8623	0.0036	
2.3508	0.1315	0.8656	0.0029	
2.3608	0.1287	0.8687	0.0026	
2.3708	0.1271	0.8707	0.0023	
2.3808	0.1241	0.8739	0.0019	
2.3908	0.1222	0.8761	0.0018	
2.4008	0.1188	0.8799	0.0013	
2.4108	0.1104	0.8886	0.001	
2.4208	0.105	0.8944	0.0006	
2.4308	0.0983	0.9013	0.0004	
2.4408	0.0931	0.9066	0.0003	
2.4508	0.0895	0.9103	0.0002	
2.4608	0.0844	0.9154	0.0001	
2.4708	0.0795	0.9205	0.0001	
2.4808	0.0758	0.9241	0.0001	
2.4908	0.0718	0.9281	0.0	
2.5	0.0697	0.9303	0.0	

Input file:
mc
output:fig4a
particle1:si.txt
matrix1:water.txt
mesh:1
solar:am15.txt
photons:100000
start=0.25
end=2.5

sim3
upper:1
lower:1
layer1
matrix1
t:500
particle1
d:0.7
vf:0.1
dist:0
