Sim 2

Solar R: 0.3801
Solar A: 0.6199
Solar T: 0.0

Wavelength	R	A	T
1.9823	0.5952	0.4037	0.0011	
1.9885	0.5945	0.4043	0.0012	
1.9947	0.592	0.4069	0.0011	
2.0009	0.5892	0.4097	0.0011	
2.0071	0.5856	0.4134	0.001	
2.0133	0.5803	0.4187	0.001	
2.0195	0.5726	0.4266	0.0008	
2.0257	0.5706	0.4286	0.0008	
2.0319	0.5687	0.4305	0.0008	
2.0381	0.5639	0.4355	0.0006	
2.0443	0.5595	0.4398	0.0007	
2.0505	0.5589	0.4404	0.0006	
2.0567	0.5518	0.4476	0.0006	
2.0629	0.5501	0.4494	0.0006	
2.0691	0.5446	0.4549	0.0005	
2.0753	0.544	0.4555	0.0005	
2.0815	0.5415	0.458	0.0005	
2.0877	0.5435	0.4559	0.0005	
2.0939	0.5415	0.458	0.0006	
2.1001	0.5401	0.4593	0.0005	
2.1063	0.5293	0.4703	0.0004	
2.1125	0.5205	0.4792	0.0003	
2.1187	0.5057	0.494	0.0003	
2.1249	0.5046	0.4952	0.0002	
2.1311	0.5009	0.4988	0.0002	
2.1373	0.4997	0.5	0.0002	
2.1435	0.5046	0.4951	0.0003	
2.1497	0.5082	0.4915	0.0003	
2.1559	0.5074	0.4923	0.0003	
2.1621	0.5144	0.4852	0.0004	
2.1683	0.5163	0.4833	0.0005	
2.1745	0.5224	0.477	0.0005	
2.1807	0.522	0.4774	0.0006	
2.1869	0.521	0.4785	0.0005	
2.1931	0.5176	0.4818	0.0005	
2.1993	0.5091	0.4905	0.0004	
2.2055	0.494	0.5057	0.0003	
2.2117	0.4696	0.5302	0.0002	
2.2179	0.4366	0.5633	0.0001	
2.2241	0.399	0.601	0.0	
2.2303	0.3584	0.6416	0.0	
2.2365	0.3166	0.6834	0.0	
2.2427	0.2797	0.7203	0.0	
2.2489	0.2445	0.7555	0.0	
2.2551	0.2143	0.7857	0.0	
2.2613	0.1955	0.8045	0.0	
2.2675	0.1856	0.8144	0.0	
2.2737	0.1846	0.8154	0.0	
2.2799	0.1817	0.8183	0.0	
2.2861	0.1781	0.8219	0.0	
2.2923	0.1715	0.8285	0.0	
2.2985	0.1666	0.8334	0.0	
2.3047	0.1743	0.8257	0.0	
2.3109	0.1855	0.8145	0.0	
2.3171	0.206	0.794	0.0	
2.3233	0.2259	0.7741	0.0	
2.3295	0.2375	0.7625	0.0	
2.3357	0.2434	0.7566	0.0	
2.3419	0.248	0.752	0.0	
2.3481	0.2458	0.7542	0.0	
2.3543	0.2496	0.7504	0.0	
2.3605	0.2588	0.7412	0.0	
2.3667	0.2638	0.7362	0.0	
2.3729	0.2709	0.7291	0.0	
2.3791	0.2658	0.7342	0.0	
2.3853	0.2613	0.7387	0.0	
2.3915	0.2566	0.7434	0.0	
2.3977	0.2525	0.7475	0.0	
2.4039	0.2506	0.7494	0.0	
2.4101	0.2455	0.7545	0.0	
2.4163	0.2403	0.7597	0.0	
2.4225	0.2402	0.7598	0.0	
2.4287	0.2324	0.7676	0.0	
2.4349	0.2243	0.7757	0.0	
